artist,genre,video_id,video_title,text,likes
Nas,Boom bap / Lyric,8WYHDfJDPDc,Nelly - Dilemma (Official Music Video) ft. Kelly Rowland,This is also wisteria lane from DHW,0
Nas,Boom bap / Lyric,8WYHDfJDPDc,Nelly - Dilemma (Official Music Video) ft. Kelly Rowland,#Dilemma 6.17.2026 🧢,1
Nas,Boom bap / Lyric,8WYHDfJDPDc,Nelly - Dilemma (Official Music Video) ft. Kelly Rowland,Anyone .Juny.2026,0
Nas,Boom bap / Lyric,8WYHDfJDPDc,Nelly - Dilemma (Official Music Video) ft. Kelly Rowland,🕺🏾,0
Nas,Boom bap / Lyric,8WYHDfJDPDc,Nelly - Dilemma (Official Music Video) ft. Kelly Rowland,sorry please am from Uganda just asking the fashion in this song is called what.,0
Nas,Boom bap / Lyric,8WYHDfJDPDc,Nelly - Dilemma (Official Music Video) ft. Kelly Rowland,👍👍👍👍👍,0
Nas,Boom bap / Lyric,8WYHDfJDPDc,Nelly - Dilemma (Official Music Video) ft. Kelly Rowland,"Is there anyone in  July, 2026?",2
Nas,Boom bap / Lyric,8WYHDfJDPDc,Nelly - Dilemma (Official Music Video) ft. Kelly Rowland,Mii?! :((....,0
Nas,Boom bap / Lyric,8WYHDfJDPDc,Nelly - Dilemma (Official Music Video) ft. Kelly Rowland,한국 2026년06월17일 오후9시21분 아직도 챙겨 듣는 노래 ㅠㅠ,1
Nas,Boom bap / Lyric,8WYHDfJDPDc,Nelly - Dilemma (Official Music Video) ft. Kelly Rowland,"Who's here june,2026❤❤",2
Nas,Boom bap / Lyric,8WYHDfJDPDc,Nelly - Dilemma (Official Music Video) ft. Kelly Rowland,Here in 2048,0
Nas,Boom bap / Lyric,8WYHDfJDPDc,Nelly - Dilemma (Official Music Video) ft. Kelly Rowland,2026 🥶🔥,0
Nas,Boom bap / Lyric,8WYHDfJDPDc,Nelly - Dilemma (Official Music Video) ft. Kelly Rowland,Nelly !,0
Nas,Boom bap / Lyric,8WYHDfJDPDc,Nelly - Dilemma (Official Music Video) ft. Kelly Rowland,ああ、懐かしい良い歌❤,2
Nas,Boom bap / Lyric,8WYHDfJDPDc,Nelly - Dilemma (Official Music Video) ft. Kelly Rowland,Alguem em 2026??❤,0
Nas,Boom bap / Lyric,8WYHDfJDPDc,Nelly - Dilemma (Official Music Video) ft. Kelly Rowland,17.06.2026 ❤👍🥰,0
Nas,Boom bap / Lyric,8WYHDfJDPDc,Nelly - Dilemma (Official Music Video) ft. Kelly Rowland,Get jail,0
Nas,Boom bap / Lyric,8WYHDfJDPDc,Nelly - Dilemma (Official Music Video) ft. Kelly Rowland,Purely our love song 💛♥️,0
Nas,Boom bap / Lyric,8WYHDfJDPDc,Nelly - Dilemma (Official Music Video) ft. Kelly Rowland,You dont need be anyone baby just you who I love you for person you are beautiful soul ♥️💛🔐,0
Nas,Boom bap / Lyric,8WYHDfJDPDc,Nelly - Dilemma (Official Music Video) ft. Kelly Rowland,"Würde man heute so rumlaufen, würden sie dich auslachen",0
Nas,Boom bap / Lyric,8WYHDfJDPDc,Nelly - Dilemma (Official Music Video) ft. Kelly Rowland,Same street from desperate housewives,0
Nas,Boom bap / Lyric,8WYHDfJDPDc,Nelly - Dilemma (Official Music Video) ft. Kelly Rowland,they be chatting thru excel like its 2026 work,0
Nas,Boom bap / Lyric,8WYHDfJDPDc,Nelly - Dilemma (Official Music Video) ft. Kelly Rowland,"My favorite song from the past, nice to listen to.🙏✌️",1
Nas,Boom bap / Lyric,8WYHDfJDPDc,Nelly - Dilemma (Official Music Video) ft. Kelly Rowland,제가 젤  좋아하는 곡,0
Nas,Boom bap / Lyric,8WYHDfJDPDc,Nelly - Dilemma (Official Music Video) ft. Kelly Rowland,Child yad krta hey wo ymma😭😢...,0
Nas,Boom bap / Lyric,8WYHDfJDPDc,Nelly - Dilemma (Official Music Video) ft. Kelly Rowland,.LA💔👩‍🏫xiwife😭 😢 ymmA,0
Nas,Boom bap / Lyric,8WYHDfJDPDc,Nelly - Dilemma (Official Music Video) ft. Kelly Rowland,"When i listen this song, i should fight with someone even if it's just me and my older mother.",0
Nas,Boom bap / Lyric,8WYHDfJDPDc,Nelly - Dilemma (Official Music Video) ft. Kelly Rowland,She is the best singer and the most beautiful of her past group. Beyonce is overrated!,0
Nas,Boom bap / Lyric,8WYHDfJDPDc,Nelly - Dilemma (Official Music Video) ft. Kelly Rowland,Salam hangat dari Indonesia❤🎉🎉🎉,0
Nas,Boom bap / Lyric,8WYHDfJDPDc,Nelly - Dilemma (Official Music Video) ft. Kelly Rowland,2026 🎉,0
Nas,Boom bap / Lyric,8WYHDfJDPDc,Nelly - Dilemma (Official Music Video) ft. Kelly Rowland,"This emoji will become famous in 2050 🕴️ TRUST THE FUTURE      




😏💋     You😳☺️",0
Nas,Boom bap / Lyric,8WYHDfJDPDc,Nelly - Dilemma (Official Music Video) ft. Kelly Rowland,Who is listening to this masterpiece right now?,0
Nas,Boom bap / Lyric,8WYHDfJDPDc,Nelly - Dilemma (Official Music Video) ft. Kelly Rowland,I like  the song,0
Nas,Boom bap / Lyric,8WYHDfJDPDc,Nelly - Dilemma (Official Music Video) ft. Kelly Rowland,Yooooooo 2026,0
Nas,Boom bap / Lyric,8WYHDfJDPDc,Nelly - Dilemma (Official Music Video) ft. Kelly Rowland,Make room full for Nelly What about a round of applause A new star is born,1
