artist,genre,video_id,video_title,channel_title,period,text,likes
"Tyler, The Creator",Alternative,XSbZidsgMfw,Tyler The Creator - Yonkers,OFWGKTA,Goblin期（過激な無名期）,"copied from what i was posting/posted(and said should stay near the top of the comment feed if people need/want to see it) on the “dempsey bob” video for the song i hear the n word in one repeating line as “make her call ya (word for a respiratory disease)” anyways it shouldn’t be this hard to say i’m copy and pasting this from something i commented on another video on youtube but LITERALLY TRYING TO SIMULTANEOUSLY MAKE MYSELF AN OFFERING AND SURVIVE IF IM NOT SUPPOSED TO WHILE ALSO FOR SOME REASON KEEP MAKING SURE ILL DIE IF IM SUPPOSED TO IN THE THUNDERBIRD EVENT BUT ALSO JUST REALIZING IF I DONT ITS PROBABLY BECAUSE IM SUPPOSED TO DIE IN A WORSE WAY BECAUSE I NOW KNOW WHAT A SEIZURE FEELS LIKE anyways when gang of four is still alive i will continue to try and ensure thunderbird event regardless of if i live or die and anyways anyways here’s the comment:
am i supposed to acknowledge the comment i can’t see about me singing the women’s warrior because someone sang in 2015(maybe 2016 but im pretty sure that it was 2015) that and it made me cry because it was sung at my moms funeral and i sang along with a recording a few days ago thinking that the possible projection on the building A of the apt i live in(im in 275C) was either danny brown or representing danny brown somehow even though i can’t see any of the projections i feel like are around me(typed sense because that’s the way its been coming out of my mouth when i try to speak about what’s going on but sense implies that i actually do see them because sight is a sense so yes its important i corrected myself to say feel like im sensing projections around me i cant see. and no i didn’t type feel and see im capitals at all, so if it “rats” on me that i didn’t type feel and see in all capitals NO I DIDNT TILL “NO” IN CAPITALS TO EMPHASIZE THAT JREG/ALL OF GROUP OF FOUR WILL BE ANNOYING AND MISCONSTRUE SOME ASPECT OF WHAT IM TRYING TO EXPRESS SO OVEREXPLAINING MORE HAS TO DO WITH THINGS LIKE I CONSIDER ALL OF GROUP OF FOUR JREG NOW PARTLY BC OF THAT BROWN RECLUSE THAT I WONDERED IF IT WAS ALL FOUR OF THEM POSSESSING A SPIDER AND THAT MIGHT HAVE STOPPED THEM FROM PRETENDING THEY ARENT WORKING TOGETHER AS IN I CONCEPTUALIZED THEM AS A SINGLE SPIRIT IN FOUR BECAUSE U KNOW 2 BECOME ONE HAHAHA ECXEPT 4 MADE ME PRETEND TO PROVE THAT THEYRE WORKING TOGETHER anyways yes i will go off property for actual kelsey elaine sparrow 5500016008 dies in or for thunderbird in case being on the property of my apartment(the place i call home currently) is somehow protecting me from being a target and/or sacrifice even though my apartment keys are still missing and or disappeared. i either get locked out of my building or i don’t",0
"Tyler, The Creator",Alternative,XSbZidsgMfw,Tyler The Creator - Yonkers,OFWGKTA,Goblin期（過激な無名期）,Its not age restricted no more,1
"Tyler, The Creator",Alternative,XSbZidsgMfw,Tyler The Creator - Yonkers,OFWGKTA,Goblin期（過激な無名期）,My nabors come knocking. I turned it up. Stood there staring.,0
"Tyler, The Creator",Alternative,XSbZidsgMfw,Tyler The Creator - Yonkers,OFWGKTA,Goblin期（過激な無名期）,Buns I’ve made harder shit than this,0
"Tyler, The Creator",Alternative,XSbZidsgMfw,Tyler The Creator - Yonkers,OFWGKTA,Goblin期（過激な無名期）,Bad apple reference,1
"Tyler, The Creator",Alternative,XSbZidsgMfw,Tyler The Creator - Yonkers,OFWGKTA,Goblin期（過激な無名期）,The lyrical mastery of this is on another level still to this day,0
"Tyler, The Creator",Alternative,XSbZidsgMfw,Tyler The Creator - Yonkers,OFWGKTA,Goblin期（過激な無名期）,"I’m a over achiever some how about I start a team a leaders and pick up Steve wonder to be wide receiver? Green paper, gold teeth and pregnant gold retriever all I want fuck money, diamonds and bitches don’t need’em but where the fat ones at I got some to feed is the cooking books the black kids never wanted to read’em 🔥🔥",0
"Tyler, The Creator",Alternative,XSbZidsgMfw,Tyler The Creator - Yonkers,OFWGKTA,Goblin期（過激な無名期）,my favorite in goblin,0
"Tyler, The Creator",Alternative,XSbZidsgMfw,Tyler The Creator - Yonkers,OFWGKTA,Goblin期（過激な無名期）,wait its not age restricted anymore,2
"Tyler, The Creator",Alternative,XSbZidsgMfw,Tyler The Creator - Yonkers,OFWGKTA,Goblin期（過激な無名期）,I should be able to recite this to a therapist thank whatever gods exist that medications work for me that I don't have to see one 😢,0
"Tyler, The Creator",Alternative,XSbZidsgMfw,Tyler The Creator - Yonkers,OFWGKTA,Goblin期（過激な無名期）,2026 still here,0
"Tyler, The Creator",Alternative,XSbZidsgMfw,Tyler The Creator - Yonkers,OFWGKTA,Goblin期（過激な無名期）,About 6'7 of his bitches in my bedroom,0
"Tyler, The Creator",Alternative,XSbZidsgMfw,Tyler The Creator - Yonkers,OFWGKTA,Goblin期（過激な無名期）,Cockroach is a trained actor,0
"Tyler, The Creator",Alternative,XSbZidsgMfw,Tyler The Creator - Yonkers,OFWGKTA,Goblin期（過激な無名期）,Can the camera focus for 5 fucking seconds,1
"Tyler, The Creator",Alternative,XSbZidsgMfw,Tyler The Creator - Yonkers,OFWGKTA,Goblin期（過激な無名期）,This was the first song I heard by him my best homie put me on tyler and I was hooked,0
"Tyler, The Creator",Alternative,XSbZidsgMfw,Tyler The Creator - Yonkers,OFWGKTA,Goblin期（過激な無名期）,I knew he was gay back then,0
"Tyler, The Creator",Alternative,XSbZidsgMfw,Tyler The Creator - Yonkers,OFWGKTA,Goblin期（過激な無名期）,Just think that Tylers first 3 albums he uploaded for free.. including this one.,0
"Tyler, The Creator",Alternative,XSbZidsgMfw,Tyler The Creator - Yonkers,OFWGKTA,Goblin期（過激な無名期）,They we're other thrown by wise such a g nuff said,0
"Tyler, The Creator",Alternative,XSbZidsgMfw,Tyler The Creator - Yonkers,OFWGKTA,Goblin期（過激な無名期）,Fck did bruno mars do 🥀,1
"Tyler, The Creator",Alternative,XSbZidsgMfw,Tyler The Creator - Yonkers,OFWGKTA,Goblin期（過激な無名期）,syd stfu,0
"Tyler, The Creator",Alternative,XSbZidsgMfw,Tyler The Creator - Yonkers,OFWGKTA,Goblin期（過激な無名期）,"Don’t know why I never gravitated towards him. And this was peak high school days for my I think I was a freshman probly when this came out and I was big into chance, rocky, Joey, action Bronson, tde all the underground/complex writing rappers. I think even as my teen self I realized how hard he was trying to be kinda ignorant and different. I understood the audience he was tryna pull most my hbs fucked with him and his group heavy he just never was my cup of tea. 


Now he gay, LOL",1
"Tyler, The Creator",Alternative,XSbZidsgMfw,Tyler The Creator - Yonkers,OFWGKTA,Goblin期（過激な無名期）,Im still here in 2026! Been a fan since Bastard 😂❤ a,0
"Tyler, The Creator",Alternative,XSbZidsgMfw,Tyler The Creator - Yonkers,OFWGKTA,Goblin期（過激な無名期）,I still can't believe this was supposed to be a joke song,0
"Tyler, The Creator",Alternative,XSbZidsgMfw,Tyler The Creator - Yonkers,OFWGKTA,Goblin期（過激な無名期）,90 🔥,0
"Tyler, The Creator",Alternative,XSbZidsgMfw,Tyler The Creator - Yonkers,OFWGKTA,Goblin期（過激な無名期）,TRASH 🗑 🚮 LIKE SERIOUSLY SMH  🤦,1
"Tyler, The Creator",Alternative,XSbZidsgMfw,Tyler The Creator - Yonkers,OFWGKTA,Goblin期（過激な無名期）,"No cap this classic came up next on random #2026 #GOLFWANG
#666Forever 💯🔥😎😈💫",2
"Tyler, The Creator",Alternative,XSbZidsgMfw,Tyler The Creator - Yonkers,OFWGKTA,Goblin期（過激な無名期）,Imagine Jadakiss On A Remix Of This😮‍💨,0
"Tyler, The Creator",Alternative,XSbZidsgMfw,Tyler The Creator - Yonkers,OFWGKTA,Goblin期（過激な無名期）,whos here in 2026?,3
"Tyler, The Creator",Alternative,XSbZidsgMfw,Tyler The Creator - Yonkers,OFWGKTA,Goblin期（過激な無名期）,"I keep hearing ""I'M A FCKING HOMOSEXUAL""",3
"Tyler, The Creator",Alternative,XSbZidsgMfw,Tyler The Creator - Yonkers,OFWGKTA,Goblin期（過激な無名期）,"louider sqaaaad.!  eric andrea type shit,
 always got me distracted laughing.
 youtube left that scene alooone 😮 shocking!!",0
"Tyler, The Creator",Alternative,XSbZidsgMfw,Tyler The Creator - Yonkers,OFWGKTA,Goblin期（過激な無名期）,Imagine youtube just being pussies for being inspired. So glad you made it out this bullshit game g.,1
"Tyler, The Creator",Alternative,XSbZidsgMfw,Tyler The Creator - Yonkers,OFWGKTA,Goblin期（過激な無名期）,Crazy how yt age restricts Goblin but not this music video,1
"Tyler, The Creator",Alternative,XSbZidsgMfw,Tyler The Creator - Yonkers,OFWGKTA,Goblin期（過激な無名期）,2026 still fire,92
"Tyler, The Creator",Alternative,XSbZidsgMfw,Tyler The Creator - Yonkers,OFWGKTA,Goblin期（過激な無名期）,5 7?,0
"Tyler, The Creator",Alternative,XSbZidsgMfw,Tyler The Creator - Yonkers,OFWGKTA,Goblin期（過激な無名期）,We are not letting old Tyler near Bruno mars..,0
"Tyler, The Creator",Alternative,XSbZidsgMfw,Tyler The Creator - Yonkers,OFWGKTA,Goblin期（過激な無名期）,"Damn I'm old, and this is still so good. 😩",0
"Tyler, The Creator",Alternative,XSbZidsgMfw,Tyler The Creator - Yonkers,OFWGKTA,Goblin期（過激な無名期）,This is the first video I watched after listening to IGOR,0
"Tyler, The Creator",Alternative,XSbZidsgMfw,Tyler The Creator - Yonkers,OFWGKTA,Goblin期（過激な無名期）,the song is glimpse,0
"Tyler, The Creator",Alternative,XSbZidsgMfw,Tyler The Creator - Yonkers,OFWGKTA,Goblin期（過激な無名期）,Big poe,2
"Tyler, The Creator",Alternative,XSbZidsgMfw,Tyler The Creator - Yonkers,OFWGKTA,Goblin期（過激な無名期）,Flower boy,2
"Tyler, The Creator",Alternative,XSbZidsgMfw,Tyler The Creator - Yonkers,OFWGKTA,Goblin期（過激な無名期）,I'm the same age as this song btw. I'm 15 btw. I'll be 18 in 3 years btw.,2
"Tyler, The Creator",Alternative,XSbZidsgMfw,Tyler The Creator - Yonkers,OFWGKTA,Goblin期（過激な無名期）,This song is actually a sample to a very early xxxtentacion song,1
"Tyler, The Creator",Alternative,XSbZidsgMfw,Tyler The Creator - Yonkers,OFWGKTA,Goblin期（過激な無名期）,FLOWERBOY  LIVES BRINGS LIFE.! YUM,1
"Tyler, The Creator",Alternative,XSbZidsgMfw,Tyler The Creator - Yonkers,OFWGKTA,Goblin期（過激な無名期）,butterflies amiright,0
"Tyler, The Creator",Alternative,XSbZidsgMfw,Tyler The Creator - Yonkers,OFWGKTA,Goblin期（過激な無名期）,i dont like it,2
"Tyler, The Creator",Alternative,XSbZidsgMfw,Tyler The Creator - Yonkers,OFWGKTA,Goblin期（過激な無名期）,This track is so 2009 and I still like it. This just has that classic feel and what can I say I liked grittey Tyler. This is just the poor man going through trauma in these albums. These tracks make me feel a certain way. This one in particular just hits.,1
"Tyler, The Creator",Alternative,XSbZidsgMfw,Tyler The Creator - Yonkers,OFWGKTA,Goblin期（過激な無名期）,So hard and this hit was by accident,1
"Tyler, The Creator",Alternative,XSbZidsgMfw,Tyler The Creator - Yonkers,OFWGKTA,Goblin期（過激な無名期）,Big dawg🙏🥀,2
"Tyler, The Creator",Alternative,XSbZidsgMfw,Tyler The Creator - Yonkers,OFWGKTA,Goblin期（過激な無名期）,The only OF kids know these days is OnlyFans,4
"Tyler, The Creator",Alternative,XSbZidsgMfw,Tyler The Creator - Yonkers,OFWGKTA,Goblin期（過激な無名期）,Anyone else here from Sammy Slamdance's cover? I just wanted to hear  what the original sounded like and I wasn't expecting such a huge difference aside from the vocals for some reason😂,0
"Tyler, The Creator",Alternative,XSbZidsgMfw,Tyler The Creator - Yonkers,OFWGKTA,Goblin期（過激な無名期）,I was 16 when this dropped 😂,3
"Tyler, The Creator",Alternative,XSbZidsgMfw,Tyler The Creator - Yonkers,OFWGKTA,Goblin期（過激な無名期）,1:31 “This aint no V Tech shit or Columbine but after bowling i went home for some damn Adventure Time.” crazy line😭,1
"Tyler, The Creator",Alternative,XSbZidsgMfw,Tyler The Creator - Yonkers,OFWGKTA,Goblin期（過激な無名期）,This was legitimately shocking in 2011 for some reason,4
"Tyler, The Creator",Alternative,XSbZidsgMfw,Tyler The Creator - Yonkers,OFWGKTA,Goblin期（過激な無名期）,WHY IS ODD FUTURE SO GOATED,2
"Tyler, The Creator",Alternative,XSbZidsgMfw,Tyler The Creator - Yonkers,OFWGKTA,Goblin期（過激な無名期）,WHY IS TYLER SO TUFF,5
"Tyler, The Creator",Alternative,XSbZidsgMfw,Tyler The Creator - Yonkers,OFWGKTA,Goblin期（過激な無名期）,can’t believe he made this 15 years ago,2
"Tyler, The Creator",Alternative,XSbZidsgMfw,Tyler The Creator - Yonkers,OFWGKTA,Goblin期（過激な無名期）,Does anybody in 2026,0
"Tyler, The Creator",Alternative,XSbZidsgMfw,Tyler The Creator - Yonkers,OFWGKTA,Goblin期（過激な無名期）,Shaniya,0
"Tyler, The Creator",Alternative,XSbZidsgMfw,Tyler The Creator - Yonkers,OFWGKTA,Goblin期（過激な無名期）,It’s 2026 and I’m still wondering how Bruno felt after this,0
"Tyler, The Creator",Alternative,XSbZidsgMfw,Tyler The Creator - Yonkers,OFWGKTA,Goblin期（過激な無名期）,2026 ? Like this so I can come back and watch this banger !,1
"Tyler, The Creator",Alternative,XSbZidsgMfw,Tyler The Creator - Yonkers,OFWGKTA,Goblin期（過激な無名期）,Should this video make me want to hang myself?😂,0
"Tyler, The Creator",Alternative,XSbZidsgMfw,Tyler The Creator - Yonkers,OFWGKTA,Goblin期（過激な無名期）,bro really told the world not to go to skool tomorrow and now has no 1 to shoot,0
"Tyler, The Creator",Alternative,XSbZidsgMfw,Tyler The Creator - Yonkers,OFWGKTA,Goblin期（過激な無名期）,Hey Asmongold Tyler The Creator Is The Artist Of Our Generation.,0
"Tyler, The Creator",Alternative,XSbZidsgMfw,Tyler The Creator - Yonkers,OFWGKTA,Goblin期（過激な無名期）,2:08 im scared.,1
"Tyler, The Creator",Alternative,XSbZidsgMfw,Tyler The Creator - Yonkers,OFWGKTA,Goblin期（過激な無名期）,Loiter squad was the damned shit,0
"Tyler, The Creator",Alternative,XSbZidsgMfw,Tyler The Creator - Yonkers,OFWGKTA,Goblin期（過激な無名期）,10 years ago. Sounds like he was ahead of tha time.,2
"Tyler, The Creator",Alternative,XSbZidsgMfw,Tyler The Creator - Yonkers,OFWGKTA,Goblin期（過激な無名期）,Damn he ate Asmongold,1
"Tyler, The Creator",Alternative,XSbZidsgMfw,Tyler The Creator - Yonkers,OFWGKTA,Goblin期（過激な無名期）,go check my new french rap song : https://www.youtube.com/watch?v=URpBb1ynaX0,1
"Tyler, The Creator",Alternative,XSbZidsgMfw,Tyler The Creator - Yonkers,OFWGKTA,Goblin期（過激な無名期）,2026 anyone?,1
"Tyler, The Creator",Alternative,XSbZidsgMfw,Tyler The Creator - Yonkers,OFWGKTA,Goblin期（過激な無名期）,I used to bang this shit when I was 18-19 now im 33 about to be 34......,4
"Tyler, The Creator",Alternative,XSbZidsgMfw,Tyler The Creator - Yonkers,OFWGKTA,Goblin期（過激な無名期）,Damn this is terrible,2
"Tyler, The Creator",Alternative,XSbZidsgMfw,Tyler The Creator - Yonkers,OFWGKTA,Goblin期（過激な無名期）,"if you ever wondered how it feels to discover tyler with 40 in 2026 ... not good, but good.",0
"Tyler, The Creator",Alternative,XSbZidsgMfw,Tyler The Creator - Yonkers,OFWGKTA,Goblin期（過激な無名期）,Rainbow retard,2
"Tyler, The Creator",Alternative,XSbZidsgMfw,Tyler The Creator - Yonkers,OFWGKTA,Goblin期（過激な無名期）,I was here the day this shit dropped 15 years ago truly crazy how much time has passed,1
"Tyler, The Creator",Alternative,XSbZidsgMfw,Tyler The Creator - Yonkers,OFWGKTA,Goblin期（過激な無名期）,I forgot how good this was. I definitely slept on these cats when they were first coming out. Earl especially is dope as hell. He ended up becoming one of my favorites ever and he fit in perfectly with this crew. Honestly I don't think he would of clicked properly with anyone else.  Good for Tyler for finding him. You guys should listen to the diss track to these cats by King Gordy called VADER. Its FIRE! As far as I know they never responded either. If they did and I missed it please correct me,0
"Tyler, The Creator",Alternative,XSbZidsgMfw,Tyler The Creator - Yonkers,OFWGKTA,Goblin期（過激な無名期）,Never liked how excited everyone got about a black boy eating a roach then hanging himself,0
"Tyler, The Creator",Alternative,XSbZidsgMfw,Tyler The Creator - Yonkers,OFWGKTA,Goblin期（過激な無名期）,15 years…,1
"Tyler, The Creator",Alternative,XSbZidsgMfw,Tyler The Creator - Yonkers,OFWGKTA,Goblin期（過激な無名期）,"This one needs an extinguisher, straight flames",2
"Tyler, The Creator",Alternative,XSbZidsgMfw,Tyler The Creator - Yonkers,OFWGKTA,Goblin期（過激な無名期）,"Its been 15 years since Tyler released Goblin, bruno mars is still scared as we speak.",3
"Tyler, The Creator",Alternative,XSbZidsgMfw,Tyler The Creator - Yonkers,OFWGKTA,Goblin期（過激な無名期）,"15 years today, damn bro…",2
"Tyler, The Creator",Alternative,XSbZidsgMfw,Tyler The Creator - Yonkers,OFWGKTA,Goblin期（過激な無名期）,15 years ❤,1
"Tyler, The Creator",Alternative,XSbZidsgMfw,Tyler The Creator - Yonkers,OFWGKTA,Goblin期（過激な無名期）,Such eerie art🎨 🎨🎨,3
"Tyler, The Creator",Alternative,XSbZidsgMfw,Tyler The Creator - Yonkers,OFWGKTA,Goblin期（過激な無名期）,Happy Anniversary! 15 years!!,1
"Tyler, The Creator",Alternative,XSbZidsgMfw,Tyler The Creator - Yonkers,OFWGKTA,Goblin期（過激な無名期）,1:02 wtf are you doing,2
"Tyler, The Creator",Alternative,XSbZidsgMfw,Tyler The Creator - Yonkers,OFWGKTA,Goblin期（過激な無名期）,0:30 how kids genuinely stare at you after you refuse to give them gum,1
"Tyler, The Creator",Alternative,XSbZidsgMfw,Tyler The Creator - Yonkers,OFWGKTA,Goblin期（過激な無名期）,I remember when this first dropped I told my boys who were glazing his music that this dude weird and prolly gay af. They like nah bro he’s an artist. He makes art. Now he sucking jaden smiths dick lmao,2
"Tyler, The Creator",Alternative,XSbZidsgMfw,Tyler The Creator - Yonkers,OFWGKTA,Goblin期（過激な無名期）,Everything he did back then was fire,1
"Tyler, The Creator",Alternative,XSbZidsgMfw,Tyler The Creator - Yonkers,OFWGKTA,Goblin期（過激な無名期）,We still here.,8
"Tyler, The Creator",Alternative,XSbZidsgMfw,Tyler The Creator - Yonkers,OFWGKTA,Goblin期（過激な無名期）,Dawg I have a cockroach in my house you think you can come and do that shit again pls,3
"Tyler, The Creator",Alternative,XSbZidsgMfw,Tyler The Creator - Yonkers,OFWGKTA,Goblin期（過激な無名期）,15 years ago 💀💀 lord we all getting old,2
"Tyler, The Creator",Alternative,XSbZidsgMfw,Tyler The Creator - Yonkers,OFWGKTA,Goblin期（過激な無名期）,2026 😂,1
"Tyler, The Creator",Alternative,XSbZidsgMfw,Tyler The Creator - Yonkers,OFWGKTA,Goblin期（過激な無名期）,Thinking of showing this to my dad just to see what he says,0
"Tyler, The Creator",Alternative,XSbZidsgMfw,Tyler The Creator - Yonkers,OFWGKTA,Goblin期（過激な無名期）,fuck is this horseshit,0
"Tyler, The Creator",Alternative,XSbZidsgMfw,Tyler The Creator - Yonkers,OFWGKTA,Goblin期（過激な無名期）,If he hung himself on film who is the other Tyler,1
"Tyler, The Creator",Alternative,XSbZidsgMfw,Tyler The Creator - Yonkers,OFWGKTA,Goblin期（過激な無名期）,Shit man this song made my life okay,1
"Tyler, The Creator",Alternative,XSbZidsgMfw,Tyler The Creator - Yonkers,OFWGKTA,Goblin期（過激な無名期）,no way hopsin tried to talk ship,1
"Tyler, The Creator",Alternative,XSbZidsgMfw,Tyler The Creator - Yonkers,OFWGKTA,Goblin期（過激な無名期）,I gently open the door 2:29,2
"Tyler, The Creator",Alternative,XSbZidsgMfw,Tyler The Creator - Yonkers,OFWGKTA,Goblin期（過激な無名期）,random bruno stray,0
"Tyler, The Creator",Alternative,XSbZidsgMfw,Tyler The Creator - Yonkers,OFWGKTA,Goblin期（過激な無名期）,"This song is so iconic and catchy but it’s so sad that if it came out nowadays people would call it “corny” and shit. Music right now is at its worst, hoping for a new odd future to take control.",2
"Tyler, The Creator",Alternative,XSbZidsgMfw,Tyler The Creator - Yonkers,OFWGKTA,Goblin期（過激な無名期）,15 years!,0
