group,rank,word,tfidf_score
contract_breakdown,1,wayne,0.06310036284725132
contract_breakdown,2,2025,0.04326187420764592
contract_breakdown,3,song,0.03843814346988456
contract_breakdown,4,lil,0.02977115281721419
contract_breakdown,5,2021,0.029075884406329956
contract_breakdown,6,like,0.02485450141576995
contract_breakdown,7,love,0.02383711603170113
contract_breakdown,8,lil wayne,0.022965292629659628
contract_breakdown,9,got,0.022374006266233263
contract_breakdown,10,listening,0.021847782559071154
contract_breakdown,11,sorry,0.019049183518902002
contract_breakdown,12,day,0.01889729141065575
contract_breakdown,13,best,0.018870620456402358
contract_breakdown,14,time,0.018755224495145554
contract_breakdown,15,just,0.018146443261108536
contract_breakdown,16,2022,0.017896127392786003
contract_breakdown,17,birdman,0.017242140459594223
contract_breakdown,18,music,0.01668095208453262
contract_breakdown,19,goat,0.016543238395091156
contract_breakdown,20,man,0.016404446833286103
rap_battle,1,song,0.026607357525710654
rap_battle,2,drake,0.023054852250177206
rap_battle,3,like,0.021504002613409696
rap_battle,4,mgk,0.0171908373302676
rap_battle,5,eminem,0.016993752116362656
rap_battle,6,diss,0.01621998216988623
rap_battle,7,just,0.015856906648514014
rap_battle,8,nicki,0.015656087744848626
rap_battle,9,2026,0.01383352031214186
rap_battle,10,love,0.013114921546486495
rap_battle,11,shit,0.01235015557947551
rap_battle,12,better,0.012065593106451803
rap_battle,13,good,0.011918863781618832
rap_battle,14,got,0.011737886491548303
rap_battle,15,rap,0.011701326165957588
rap_battle,16,megan,0.011612877143070266
rap_battle,17,years,0.010507258347103199
rap_battle,18,time,0.010268209678411352
rap_battle,19,did,0.010096466867245128
rap_battle,20,pusha,0.010050801148154292
