video_id,key,song_name,artist_name,beef_id,track_category,release_date,collected_at,view_count,comment_count,like_count,channel_title,video_title,artist_side,release_date_dt,collected_at_dt,days_since_release,view_efficiency,like_efficiency,win_loss_side,verdict,outcome_type
MoR47PedfaU,b1_post_drake_03,shabang,Drake,b1,post,2026-05-16,2026-07-15T01:51:00.514146+00:00,16762192,9348,181946,DrakeVEVO,Drake - shabang,drake,2026-05-16,2026-07-15,60,279369.86666666664,3032.4333333333334,loser,clear,rap_battle
ESRCdJHbvnU,b1_post_drake_04,2 Hard 4 The Radio,Drake,b1,post,2026-05-16,2026-07-15T01:51:00.514146+00:00,9570779,11480,143607,DrakeVEVO,Drake - 2 Hard 4 The Radio,drake,2026-05-16,2026-07-15,60,159512.98333333334,2393.45,loser,clear,rap_battle
Z8wKeg_nRVI,b1_post_drake_05,B's On The Table,Drake,b1,post,2026-05-16,2026-07-15T01:51:00.514146+00:00,7769832,4853,101162,DrakeVEVO,"Drake, 21 Savage - B’s On The Table",drake,2026-05-16,2026-07-15,60,129497.2,1686.0333333333333,loser,clear,rap_battle
sF5IU-Pyn2A,b2_post_pusha_02,Puppets (Succession Remix),Pusha T,b2,post,2019-10-11,2026-07-15T01:51:00.514146+00:00,951617,717,16814,PushaTVEVO,"Pusha T, Nicholas Britell - Puppets (Succession Remix - Official Audio)",pusha,2019-10-11,2026-07-15,2469,385.4260834345889,6.8100445524503845,winner,clear,rap_battle
9bx_r7H7eF8,b2_post_pusha_03,Coming Home ft. Ms. Lauryn Hill,Pusha T,b2,post,2019-08-28,2026-07-15T01:51:00.514146+00:00,3403526,3802,56146,PushaTVEVO,Pusha T - Coming Home ft. Ms. Lauryn Hill (Official Audio),pusha,2019-08-28,2026-07-15,2513,1354.367688022284,22.342220453641065,winner,clear,rap_battle
xq3eNq43C-0,b2_post_pusha_04,Sociopath ft. Kash Doll,Pusha T,b2,post,2019-08-28,2026-07-15T01:51:00.514146+00:00,458023,603,9276,PushaTVEVO,Pusha T - Sociopath ft. Kash Doll (Official Audio),pusha,2019-08-28,2026-07-15,2513,182.26144050935136,3.691205730202945,winner,clear,rap_battle
JFm7YDVlqnI,b2_post_drake_02,Laugh Now Cry Later ft. Lil Durk,Drake,b2,post,2020-08-14,2026-07-15T01:51:00.514146+00:00,585766734,150566,4602705,DrakeVEVO,Drake - Laugh Now Cry Later (Official Music Video) ft. Lil Durk,drake,2020-08-14,2026-07-15,2161,271062.8107357705,2129.8958815363258,loser,clear,rap_battle
lJTRVX9R5EA,b2_post_drake_03,Nonstop,Drake,b2,post,2018-08-04,2026-07-15T01:51:00.514146+00:00,124270903,31146,1219815,DrakeVEVO,Drake - Nonstop,drake,2018-08-04,2026-07-15,2902,42822.50275671951,420.33597518952445,loser,clear,rap_battle
V7UgPHjN9qE,b2_post_drake_04,Jimmy Cooks ft. 21 Savage,Drake,b2,post,2022-06-17,2026-07-15T01:51:00.514146+00:00,123759579,14661,928345,DrakeVEVO,Drake - Jimmy Cooks (Audio) ft. 21 Savage,drake,2022-06-17,2026-07-15,1489,83115.90261920753,623.4687709872397,loser,clear,rap_battle
vX9msKu75qs,b2_post_drake_05,"Way 2 Sexy ft. Future, Young Thug",Drake,b2,post,2021-09-03,2026-07-15T01:51:00.514146+00:00,111340671,49907,1327070,DrakeVEVO,Drake ft. Future and Young Thug - Way 2 Sexy (Official Video),drake,2021-09-03,2026-07-15,1776,62691.81925675676,747.2240990990991,loser,clear,rap_battle
3qFvCPmee8U,b4_post_eminem_02,Godzilla ft. Juice WRLD,Eminem,b4,post,2020-03-04,2026-07-15T01:51:00.514146+00:00,66950042,45454,1457792,EminemVEVO,Eminem - Godzilla (Lyric Video) ft. Juice WRLD,eminem,2020-03-04,2026-07-15,2324,28808.10757314974,627.277108433735,winner,clear,rap_battle
FVeZcM6tBQU,b4_post_eminem_03,"Killer (Remix) ft. Jack Harlow, Cordae",Eminem,b4,post,2021-05-28,2026-07-15T01:51:00.514146+00:00,33660694,35310,647582,EminemVEVO,"Eminem - Killer (Remix) [Official Audio] ft. Jack Harlow, Cordae",eminem,2021-05-28,2026-07-15,1874,17961.94983991462,345.56136606189966,winner,clear,rap_battle
RjrA-slMoZ4,b4_post_eminem_04,From The D 2 The LBC,Eminem,b4,post,2022-06-24,2026-07-15T01:51:00.514146+00:00,120060672,101985,2739316,EminemVEVO,Eminem & Snoop Dogg - From The D 2 The LBC [Official Music Video],eminem,2022-06-24,2026-07-15,1482,81012.5991902834,1848.391363022942,winner,clear,rap_battle
X-TkrWpO75k,b4_post_eminem_05,Good Guy ft. Jessie Reyez,Eminem,b4,post,2018-12-07,2026-07-15T01:51:00.514146+00:00,56224134,48805,1041784,EminemVEVO,Eminem - Good Guy (Official Music Video) ft. Jessie Reyez,eminem,2018-12-07,2026-07-15,2777,20246.357220021608,375.14728123874687,winner,clear,rap_battle
J_n01uvyhI8,b4_post_mgk_02,my ex's best friend ft. blackbear,MGK,b4,post,2020-08-26,2026-07-15T01:51:00.514146+00:00,149011716,35592,1221785,MGKVEVO,Machine Gun Kelly ft. blackbear - my ex's best friend (Official Music Video),mgk,2020-08-26,2026-07-15,2149,69340.02605863192,568.5365286179618,loser,clear,rap_battle
wK-8TCDrbV8,b4_post_mgk_03,I Think I'm OKAY,MGK,b4,post,2019-06-13,2026-07-15T01:51:00.514146+00:00,144413936,49790,1317415,MGKVEVO,Machine Gun Kelly - I Think I'm OKAY [Official Music Video],mgk,2019-06-13,2026-07-15,2589,55779.81305523368,508.8509076863654,loser,clear,rap_battle
z7kYa5GQYKg,b4_post_mgk_04,Candy ft. Trippie Redd,MGK,b4,post,2019-07-09,2026-07-15T01:51:00.514146+00:00,100796432,44935,1242932,MGKVEVO,"Machine Gun Kelly, Trippie Redd - Candy (Official Music Video)",mgk,2019-07-09,2026-07-15,2563,39327.51931330472,484.95200936402654,loser,clear,rap_battle
0tn6nWYNK3Q,b4_post_mgk_05,forget me too ft. Halsey,MGK,b4,post,2020-10-22,2026-07-15T01:51:00.514146+00:00,95887598,31334,940632,MGKVEVO,Machine Gun Kelly ft. Halsey - forget me too (Official Music Video),mgk,2020-10-22,2026-07-15,2092,45835.37189292543,449.63288718929255,loser,clear,rap_battle
