beef_id,track_category,n_comments,n_conflict,pct_conflict,n_opponent,pct_opponent,avg_length,reply_rate,like_rate
b1,beef,904,71,7.853982300884955,131,14.491150442477876,107.12057522123894,0.3495575221238938,4.622787610619469
b1,catalog,1541,48,3.1148604802076574,31,2.011680726800779,94.68007787151201,0.42504866969500327,5.643088903309539
b1,post,1528,82,5.366492146596859,97,6.348167539267016,103.75523560209425,0.599476439790576,9.25916230366492
b2,beef,1208,336,27.81456953642384,218,18.046357615894042,88.61009933774834,1.2690397350993377,18.323675496688743
b2,catalog,1768,44,2.48868778280543,34,1.9230769230769231,73.75735294117646,0.45475113122171945,13.881787330316742
b2,post,1619,61,3.7677578752316245,22,1.3588634959851762,95.48919085855466,0.471278567016677,8.181593576281655
b4,beef,2063,421,20.407174018419777,589,28.550654386815317,135.99224430441106,0.590887057682986,5.785264178380999
b4,catalog,1557,46,2.954399486191394,9,0.5780346820809248,122.65960179833012,0.2915863840719332,3.176621708413616
b4,post,1739,84,4.830362277170788,24,1.380103507763082,111.09085681426107,0.24381828637147787,3.4956871765382402
b5,beef,834,32,3.8369304556354913,48,5.755395683453238,66.76258992805755,0.39688249400479614,9.388489208633093
b5,catalog,1300,23,1.7692307692307692,33,2.5384615384615383,86.74461538461539,0.15153846153846154,3.0046153846153847
b5,post,681,19,2.7900146842878124,5,0.7342143906020557,70.23788546255507,0.45080763582966227,10.809104258443465
b6,beef,1894,207,10.929250263991552,212,11.19324181626188,76.86272439281943,1.2328405491024288,92.2507919746568
b6,catalog,1459,24,1.644962302947224,3,0.205620287868403,69.44893762851268,0.658670322138451,22.660726525017136
b6,post,1576,55,3.489847715736041,32,2.030456852791878,74.70558375634518,0.22525380710659898,7.684010152284264
