beef_id,track_category,positive,neutral,negative
b1,beef,53.87168141592921,25.442477876106196,20.6858407079646
b1,catalog,45.36015574302401,34.78260869565217,19.857235561323815
b1,post,42.34293193717277,32.39528795811518,25.261780104712038
b2,beef,44.5364238410596,24.917218543046356,30.54635761589404
b2,catalog,41.5158371040724,33.99321266968326,24.490950226244344
b2,post,43.36009882643607,34.89808523780111,21.74181593576282
b4,beef,41.88075618031992,17.983519146873487,40.135724672806596
b4,catalog,42.19653179190752,35.51701991008349,22.28644829800899
b4,post,49.05117883841288,22.59919493962047,28.349626221966645
b5,beef,37.05035971223021,36.57074340527578,26.378896882494008
b5,catalog,42.61538461538461,36.84615384615385,20.53846153846154
b5,post,47.57709251101321,24.963289280469898,27.45961820851689
b6,beef,47.72967265047519,26.768743400211193,25.501583949313623
b6,catalog,46.05894448252227,27.484578478409873,26.456477039067856
b6,post,48.41370558375635,28.99746192893401,22.588832487309645
