video_id,key,song_name,artist_name,beef_id,track_category,release_date,collected_at,view_count,comment_count,like_count,channel_title,video_title
uxpDa-c-4Mc,b2_catalog_drake_02,Hotline Bling,Drake,b2,catalog,2015-10-26,2026-07-15T01:51:00.514146+00:00,2143042134,459920,11570206,DrakeVEVO,Drake - Hotline Bling
7LnBvuzjpr4,b2_catalog_drake_03,Energy,Drake,b2,catalog,2015-08-18,2026-07-15T01:51:00.514146+00:00,372658218,51059,2435249,DrakeVEVO,Drake - Energy
vcer12OFU2g,b2_catalog_drake_04,One Dance (Live On SNL),Drake,b2,catalog,2016-05-15,2026-07-15T01:51:00.514146+00:00,29700237,16603,267592,DrakeVEVO,"Drake - One Dance (Live On SNL) ft. Wizkid, Kyla"
oeCihv9A3ac,b4_catalog_eminem_02,Phenomenal,Eminem,b4,catalog,2015-10-01,2026-07-15T01:51:00.514146+00:00,50490060,46648,794501,EminemVEVO,Eminem - Phenomenal
_Ci6LhAmYJk,b4_catalog_eminem_03,Infinite (F.B.T. Remix),Eminem,b4,catalog,2016-11-18,2026-07-15T01:51:00.514146+00:00,14308819,21554,294971,EminemVEVO,Eminem - Infinite (F.B.T. Remix) [Official Audio]
tgvbhxb9yk8,b4_catalog_mgk_02,At My Best ft. Hailee Steinfeld,MGK,b4,catalog,2017-04-21,2026-07-15T01:51:00.514146+00:00,78526447,15537,795750,MGKVEVO,Machine Gun Kelly - At My Best ft. Hailee Steinfeld (Official Music Video)
BuSBo8AVpV0,b4_catalog_mgk_03,Young Man ft. Chief Keef,MGK,b4,catalog,2016-09-22,2026-07-15T01:51:00.514146+00:00,59387704,14186,478136,MGKVEVO,Machine Gun Kelly - Young Man ft. Chief Keef (Official Music Video)
X5-sg1SnDAM,b4_catalog_mgk_04,Alpha Omega,MGK,b4,catalog,2016-02-26,2026-07-15T01:51:00.514146+00:00,59076105,18681,483355,MGKVEVO,Machine Gun Kelly - Alpha Omega (Official Music Video)
BKywT1BQW_M,b4_catalog_mgk_05,"Trap Paris ft. Quavo, Ty Dolla $ign",MGK,b4,catalog,2017-06-07,2026-07-15T01:51:00.514146+00:00,43018146,10285,459736,MGKVEVO,"Machine Gun Kelly - Trap Paris ft. Quavo, Ty Dolla $ign (Official Music Video)"
OZLUa8JUR18,b5_catalog_wayne_02,Mirror ft. Bruno Mars,Lil Wayne,b5,catalog,2012-01-31,2026-07-15T01:51:00.514146+00:00,974391781,314049,5890197,LilWayneVEVO,Lil Wayne - Mirror ft. Bruno Mars (Official Music Video) ft. Bruno Mars
KY44zvhWhp4,b5_catalog_wayne_03,"Love Me ft. Drake, Future",Lil Wayne,b5,catalog,2013-02-15,2026-07-15T01:51:00.514146+00:00,660685966,127157,3976088,LilWayneVEVO,"Lil Wayne - Love Me (Explicit Version/Closed Captioned) ft. Drake, Future"
5z25pGEGBM4,b5_catalog_wayne_04,No Worries ft. Detail,Lil Wayne,b5,catalog,2012-11-28,2026-07-15T01:51:00.514146+00:00,83629894,33810,514085,LilWayneVEVO,Lil Wayne - No Worries ft. Detail (Explicit) ft. Detail
