video_id,n_comments_collected,avg_length,reply_rate,like_rate,beef_id,beef_type,track_category,drake_involved,days_since_release,artist_name,song_name,view_count,like_count,comment_count,comment_per_view,like_per_view,is_beef_track,log_days,log_cpv
1Vf4mMCpNY0,717,96.85913528591352,0.18549511854951187,3.198047419804742,b5,contract_breakdown,catalog,False,1516.0,Lil Wayne,A Milli,92849485,827357,15969,7.722175303395598e-06,0.008910733322861188,0,7.324489979348532,0.5722316044338279
4sNCyiyIc_8,1053,117.5954415954416,0.8461538461538461,7.377018043684711,b4,rap_battle,beef,False,1404.0,MGK,Rap Devil,16884543,272962,86602,6.236473205108364e-05,0.01616638365634178,1,7.247792581767846,1.9791339613467842
8ekJMC8OtGU,748,91.58155080213903,0.6564171122994652,9.191176470588236,b1,rap_battle,post,True,353.0,Drake,NOKIA,57451970,780342,64172,1.3019570956400624e-05,0.01358251074767323,0,5.869296913133774,0.8337596722633028
DALvNCbgcKg,583,74.30531732418525,0.1097770154373928,2.7667238421955402,b5,contract_breakdown,catalog,False,5143.0,Birdman,Fire Flame,25918156,113360,10974,2.2493884209972347e-05,0.004373767948614863,0,8.545586265917455,1.1784668004792187
DawrlSwHUiM,1028,68.534046692607,0.6099221789883269,22.52140077821012,b2,rap_battle,catalog,True,2952.0,Pusha T,Numbers on the Boards,12727300,112909,8943,8.077125549016681e-05,0.008871402418423388,0,7.990576881743923,2.205757573002948
EOxj2ROIxok,756,75.38095238095238,0.9854497354497355,38.91137566137566,b6,rap_battle,catalog,False,785.5,Megan Thee Stallion,Savage,120311748,1059277,16106,6.283675639057293e-06,0.008804435290891127,0,6.667592722498332,0.4875780184515736
FxQTY-W6GIo,1010,155.17227722772276,0.32475247524752476,4.125742574257425,b4,rap_battle,beef,False,2787.0,Eminem,Killshot,512858018,6892948,210025,1.9693559709541287e-06,0.01344026564482804,1,7.933079771880415,0.1797646215322244
H58vbez_m4E,904,107.12057522123894,0.3495575221238938,4.622787610619469,b1,rap_battle,beef,True,716.0,Kendrick Lamar,Not Like Us,485310190,7596078,382509,1.8627261875543968e-06,0.015652005988170164,1,6.57507584059962,0.17081613820421468
HFrwm6oRYJg,941,85.75876726886291,0.45483528161530284,9.256110520722636,b2,rap_battle,post,True,1137.0,Pusha T,Diet Coke,24662781,391615,18563,3.815465903865424e-05,0.01587878512159679,0,7.037027614686276,1.5718328014964507
QpbQ4I3Eidg,718,125.20194986072423,0.22423398328690808,2.7701949860724233,b4,rap_battle,catalog,False,3304.0,MGK,Bad Things (ft. Camila Cabello),543247179,3983353,114667,1.3216819668013408e-06,0.007332487224935963,0,8.103191752285786,0.12413455238322993
Qr_QLv1TPcY,1208,88.61009933774834,1.2690397350993377,18.323675496688743,b2,rap_battle,beef,True,2470.5,Drake,Duppy Freestyle,20015521,209089,28374,6.0353162927909794e-05,0.010446343115425274,1,7.812580532747014,1.9509426494406876
RHQC4fAhcbU,919,133.05875952121872,0.2513601741022851,4.224156692056583,b4,rap_battle,post,False,1882.0,Eminem,Darkness,66167614,1941349,120702,1.3888969912078136e-05,0.02933986708361586,0,7.5406215286571525,0.870831749460033
TKQY2ZlIEjY,947,77.17106652587117,0.2249208025343189,9.84794086589229,b6,rap_battle,post,False,129.0,Megan Thee Stallion,BOA,21080968,520609,21105,4.49220358382025e-05,0.024695687598406298,0,4.867534450455582,1.7033295563775022
U8F5G5wR1mk,780,115.42948717948718,0.5448717948717948,9.324358974358974,b1,rap_battle,post,True,490.0,Kendrick Lamar,tv off,154455486,1441871,68001,5.049998677288808e-06,0.009335188003616783,0,6.19644412779452,0.40879281031304837
XVgCLQ_JQfU,919,92.74755168661589,1.6093579978237214,169.34058759521218,b6,rap_battle,beef,False,673.0,Megan Thee Stallion,HISS,52598281,1049050,67867,1.7472053887084256e-05,0.01994456815043062,1,6.513230110912307,1.0105841726866784
XbGs_qK2PQA,839,120.4839094159714,0.3492252681764005,3.5244338498212158,b4,rap_battle,catalog,False,4598.0,Eminem,Rap God,1566308031,20648546,1302953,5.356545349922936e-07,0.013182940769841459,0,8.433594167539924,0.05218008189951985
_y_Xpps46Uc,834,66.76258992805755,0.39688249400479614,9.388489208633093,b5,contract_breakdown,beef,False,2979.0,Lil Wayne,CoCo,34212251,271274,10314,2.437723258840817e-05,0.007929147953462636,1,7.9996785794994505,1.2348094089100774
j5uAR9w7LBg,703,63.0697012802276,0.30725462304409673,5.1849217638691325,b6,rap_battle,catalog,False,1100.0,Nicki Minaj,Super Freaky Girl,60495785,1304624,72476,1.1620644314310493e-05,0.021565535516234725,0,7.00397413672268,0.7710635205449458
rV7zBXq5JsY,629,70.99364069952306,0.22575516693163752,4.4260731319554845,b6,rap_battle,post,False,84.0,Nicki Minaj,FTCU (SLEEZEMIX),4272178,117586,9503,0.00014723169306147824,0.027523665914669287,0,4.442651256490317,2.755135376486376
tF0X2c8HPN8,681,70.23788546255507,0.45080763582966227,10.809104258443465,b5,contract_breakdown,post,False,7.0,Lil Wayne,Uproar,2834195,49217,1702,0.000240279867828431,0.017365424750237723,0,2.0794415416798357,3.2199946700411677
tvTRZJ-4EyI,801,107.30586766541823,0.5967540574282147,9.119850187265918,b1,rap_battle,catalog,True,3296.0,Kendrick Lamar,HUMBLE.,1113182950,9171352,256895,7.19558272070193e-07,0.008238854179360185,0,8.10076824307173,0.06948485583601981
vKkoBUPav3s,975,61.89025641025641,0.877948717948718,19.58871794871795,b6,rap_battle,beef,False,520.0,Nicki Minaj,Big Foot,9996754,219059,87815,9.753165877643883e-05,0.021913012964008115,1,6.255750041753367,2.3752002114629294
wSdT-SArM2Q,820,86.47073170731707,0.23536585365853657,2.6792682926829268,b4,rap_battle,post,False,1822.5,MGK,Bloody Valentine,149289635,1369145,72278,5.492678711418914e-06,0.009171065358958109,0,7.508513010248735,0.43778247814413157
xWggTb45brM,678,108.99410029498524,0.4941002949852507,6.6902654867256635,b2,rap_battle,post,True,2089.0,Drake,Toosie Slide,411199867,4497374,133816,1.6488332181294211e-06,0.010937197117332726,0,7.644919344958857,0.15262092905175798
xpVfcZ0ZcFM,1480,81.01351351351352,0.2391891891891892,1.8797297297297297,b1,rap_battle,catalog,True,3037.0,Drake,God's Plan,1708810068,16900391,632622,8.660997659805455e-07,0.00989015181762143,0,8.018954683155718,0.0830627365748723
xpVfcZ0ZcFM,1480,81.01351351351352,0.2391891891891892,1.8797297297297297,b1,rap_battle,catalog,True,3037.0,Drake,God's Plan,1708810068,16900391,632622,8.660997659805455e-07,0.00989015181762143,0,8.018954683155718,0.0830627365748723
