k,chi2,p,V,max_diff_pp
3,184.83592051200233,6.820562807038952e-39,0.0653038391002206,9.704707147996949
4,480.27696391181235,1.488308328756715e-100,0.1052667959621866,14.365327500754013
5,374.7692316111648,4.6442677966958594e-76,0.092988124893527,4.918319666194073
6,595.0432161797543,2.031087241723511e-121,0.11717090390997452,14.267868329996702
7,673.221232222698,2.3703060613596586e-136,0.12463052610074042,9.602192441870123
