artist,⚔️ ビーフ,🎪 ライブ,👍 ベースライン,🔥 炎上,🕯️ 追悼
A$AP Rocky,1.1129660545353366,0.333889816360601,97.66277128547578,0.11129660545353368,0.7790762381747357
Future,0.3616636528028933,0.09041591320072333,99.00542495479205,0.09041591320072333,0.45207956600361665
J. Cole,17.806122448979593,0.10204081632653061,81.12244897959184,0.6632653061224489,0.30612244897959184
JPEGMAFIA,1.5476190476190477,0.5952380952380952,97.38095238095238,0.0,0.4761904761904762
Joey Bada$$,7.785234899328859,0.1342281879194631,90.06711409395973,1.0738255033557047,0.9395973154362416
Kendrick Lamar,21.063291139240505,0.10126582278481014,78.17721518987342,0.35443037974683544,0.3037974683544304
Mac Miller,0.1295336787564767,0.2590673575129534,90.73834196891191,0.38860103626943004,8.484455958549223
Nas,1.7140058765915769,0.1958863858961802,96.86581782566111,0.14691478942213515,1.0773751224289911
Playboi Carti,0.28620492272467085,0.22896393817973668,99.02690326273613,0.0,0.45792787635947335
Travis Scott,0.0,1.6688061617458279,97.81771501925546,0.0,0.5134788189987163
"Tyler, The Creator",1.8316831683168315,0.24752475247524752,97.37623762376238,0.24752475247524752,0.297029702970297
Young Thug,0.5908419497784343,0.07385524372230429,97.93205317577548,0.14771048744460857,1.255539143279173
