Genre,Lyric,Vibe,Art,Style
Alternative,4.076125550347962,8.322681437295838,5.865644084647067,3.749467405198125
Boom bap / Lyric,5.540672187043351,9.863614223088165,4.456892352654652,2.7520701412566977
Trap,2.2029488291413704,6.071118820468343,4.024284475281873,3.0875975715524717
