beef_id,track_category,n_comments,pct_conflict,pct_opponent,avg_length
B1: Kendrick vs Drake,beef,904,7.853982300884955,14.491150442477876,107.12057522123894
B1: Kendrick vs Drake,catalog,1541,3.1148604802076574,2.011680726800779,94.680077871512
B1: Kendrick vs Drake,post,1528,5.366492146596859,6.348167539267016,103.75523560209425
B2: Pusha T vs Drake,beef,1208,27.81456953642384,18.04635761589404,88.61009933774834
B2: Pusha T vs Drake,catalog,1768,2.48868778280543,1.9230769230769231,73.75735294117646
B2: Pusha T vs Drake,post,1619,3.767757875231625,1.3588634959851762,95.48919085855466
B4: Eminem vs MGK,beef,2063,20.407174018419777,28.55065438681532,135.99224430441106
B4: Eminem vs MGK,catalog,1557,2.954399486191394,0.5780346820809248,122.65960179833012
B4: Eminem vs MGK,post,1739,4.830362277170788,1.380103507763082,111.09085681426107
B5: Wayne vs Birdman,beef,834,3.8369304556354913,5.755395683453238,66.76258992805755
B5: Wayne vs Birdman,catalog,1300,1.7692307692307692,2.5384615384615383,86.74461538461539
B5: Wayne vs Birdman,post,681,2.7900146842878124,0.7342143906020557,70.23788546255507
B6: Megan vs Nicki,beef,1894,10.929250263991552,11.19324181626188,76.86272439281943
B6: Megan vs Nicki,catalog,1459,1.644962302947224,0.205620287868403,69.44893762851268
B6: Megan vs Nicki,post,1576,3.489847715736041,2.030456852791878,74.70558375634518
